url,matching_links
https://www.privateaser.com/lieu/72-cafe-melia-ex-le-trente-neuf-paris,https://www.google.com/maps/search/?api=1&query=39%20Rue%20Beaubourg%2075003%20Paris&query_place_id=ChIJF2j93L9v5kcRCR7NtIp3_30
https://www.publichouseparis.fr/,"/menus-carte/,/menus-carte/#menu-459351,/menus-carte/#menu-458776"
https://wiicmenu-qrcode.com/app/offre.php?resto=870,#
https://wiicmenu-qrcode.com/app/offre.php?resto=1440,#
https://www.bofingerparis.com/?utm_source=Google&utm_medium=GMB&utm_campaign=BOF&y_source=1_MTE2NjUxODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=BOF&y_source=1_MTE2NjUxODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=BOF&y_source=1_MTE2NjUxODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-431032,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=BOF&y_source=1_MTE2NjUxODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-450264,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=BOF&y_source=1_MTE2NjUxODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-431065,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=BOF&y_source=1_MTE2NjUxODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-431070,/photos/?utm_source=Google&utm_medium=GMB&utm_campaign=BOF&y_source=1_MTE2NjUxODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#la-carte"
https://www.grandebrasserie.fr/,"/#menu,//assets.ctfassets.net/cx6fp0k70086/78OTa5Y8BgyOSHxf7plVnG/3bc0844bfecc332a5d4d9b9cfb698847/Carte_dez_vins_site_internet_PDF_Good.pdf,//assets.ctfassets.net/cx6fp0k70086/2RC8Wyidz9IAosM9fRU1fT/d10db245018697816e3ab82a67bcccfd/CARTE_BRASSERIE_BOISSONS.pdf"
https://lesfous.paris/,https://lesfous.paris/?page_id=2
https://parisbeaubourg.fr/,https://platform.digityser.com/r/85
https://www.sacrefrenchy.com/,/menu
https://www.privateaser.com/lieu/52305-terrasse-sainte-catherine,https://www.google.com/maps/search/?api=1&query=7%20Rue%20Caron%2075004%20Paris&query_place_id=ChIJS86cIf5x5kcRhk-2biwJHmw
https://www.letrumilou.fr/,"/menus-carte/,/menus-carte/#menu-457219"
https://lalsacien.com/restaurants-bar-alsacien-flammekueche/restaurant-paris-4-chatelet-informations-horaires-contact/,"/carte-restaurant-lalsacien-flams/,https://lalsacien.com/carte-restaurant-lalsacien-flams/,https://lalsacien.com/restaurants-bar-alsacien-flammekueche/restaurant-paris-4-chatelet-menu/"
https://brasserielesdeuxpalais.fr/fr,https://brasserielesdeuxpalais.fr/fr/services
https://www.larotondesthonore.com/,"#carte,https://larotondesthonore.mimohca.com/"
https://chezmademoiselleparis.fr/fr,https://chezmademoiselleparis.fr/fr/services
